"設置位置ID","オーダーID","セクタ管理番号","ベンダー","ANT_NO","Transmitter_Name","RAN種別","BBT_CODE_加入DFGC","作業番号","帯域","BAND","BBU_sys","GPSフラグ"
"QG-00618","R001762220","GPS","","1","GPS沖縄宜野湾","XGM","91-009","","","GPS","BC02","1"
"QG-00622","R001762906","GPS","","1","GPS那覇上間","XGM","91-001","","","GPS","BC01","1"
"QG-00623","R001770395","GPS","","1","GPS那覇市具志","XGM","91-003","","","GPS","BC01","1"
"QG-00624","R001770402","GPS","","1","GPS博多諸岡","XGM","87-030","","","GPS","BC02","1"
"QG-00625","R001770708","GPS","","1","GPS戸畑浅生","XGM","87-008","","","GPS","BC02","1"
"QG-00626","R001770709","GPS","","1","GPS久留米国分町","SGM","87-048","","","GPS","FC-01","1"
"QG-00627","R001770710","GPS","","1","GPS久留米藤山","SGM","87-048","","","GPS","FC-02","1"
"QG-00628","R001770711","GPS","","1","GPS宮崎郡司分","SGM","81-007","","","GPS","FC-01","1"
"QG-00629","R001770712","GPS","","1","GPS本郷南方","SGM","81-007","","","GPS","FC-02","1"
"QG-00630","R001770713","GPS","","1","GPS佐賀関神崎(仮)","SGM","85-080","","","GPS","FC-01","1"
"QG-00631","R001770714","GPS","","1","GPS大分馬場","SGM","85-080","","","GPS","FC-02","1"
"QG-00632","R001770715","GPS","","1","GPS若松高須南","XGM","87-007","","","GPS","BC01","1"
"QG-00641","R001770724","GPS","","1","GPS久留米田主丸益生田上野","SGM","87-110","","","GPS","FC-02","1"
"QG-00642","R001770725","GPS","","1","GPS日向富高","SGM","81-030","","","GPS","FC-01","1"
"QG-00648","R001773709","GPS","","1","GPS鹿児島山田町","XGM","84-018","","","GPS","BC01","1"
"QG-00649","R001775951","GPS","","1","GPS鹿児島鴨池","XGM","84-002","","","GPS","BC01","1"
"QG-00650","R001775952","GPS","","1","GPS小倉北高峰町","XGM","87-010","","","GPS","BC01","1"
"QG-00651","R001775954","GPS","","1","GPS鹿児島加治屋町","XGM","84-001","","","GPS","BC01","1"
"QG-00653","R001783484","GPS","","1","GPS熊本城山下代","XGM","82-005","","","GPS","BC02","1"
"QG-00655","R001793121","GPS","","1","ＧＰＳ上ノ河内","XGM","87-147","","","GPS","BC02","1"
"QG-00656","R001798494","GPS","","1","ＧＰＳ那覇市金城","XGM","91-003","","","GPS","BC02","1"
"QG-00657","R001833434","GPS","","1","GPS小倉北赤坂","XGM","87-011","","","GPS","BC02","1"
"QG-00658","R001902794","GPS","","1","GPS宮崎赤江","XGM","81-003","","","GPS","BC01","1"
"QG-00659","R001902795","GPS","","1","GPS宮崎市学園木花台西０１Ｗ","XGM","81-006","","","GPS","BC01","1"
"QG-00661","R001902797","GPS","","1","GPS鳥栖桜町","XGM","83-009","","","GPS","BC02","1"
"QG-00662","R001902798","GPS","","1","GPS佐賀大和町尼寺","XGM","83-030","","","GPS","BC01","1"
"QG-00663","R001902819","GPS","","1","GPS佐賀小城市第２","XGM","83-042","","","GPS","BC01","1"
"QG-00664","R001902820","GPS","","1","GPS佐賀小城市第６","XGM","83-042","","","GPS","BC02","1"
"QG-00665","R001902821","GPS","","1","GPS鹿児島小松原","XGM","84-003","","","GPS","BC01","1"
"QG-00670","R001902823","GPS","","1","GPS長崎西彼杵郡長与町第１３","XGM","86-054","","","GPS","BC01","1"
"QG-00671","R001902824","GPS","","1","GPS福岡北九州市門司区第３５","XGM","87-002","","","GPS","BC01","1"
"QG-00672","R001902825","GPS","","1","GPS若松大谷町","XGM","87-005","","","GPS","BC01","1"
"QG-00673","R001902826","GPS","","1","GPS福岡北九州市若松区第１９","SGM","87-006","","","GPS","FC-02","1"
"QG-00674","R001902827","GPS","","1","GPS八幡西筒井町","XGM","87-019","","","GPS","BC01","1"
"QG-00675","R001902828","GPS","","1","GPS福岡千早Ｂ","XGM","87-023","","","GPS","BC01","1"
"QG-00676","R001902829","GPS","","1","GPS福岡青葉","SGM","87-025","","","GPS","FC-02","1"
"QG-00677","R001902830","GPS","","1","GPS福岡和白","XGM","87-026","","","GPS","BC02","1"
"QG-00678","R001902831","GPS","","1","GPS福岡鶴田","XGM","87-034","","","GPS","BC01","1"
"QG-00679","R001902832","GPS","","1","GPS筑後市尾島０１Ｗ","XGM","87-058","","","GPS","BC02","1"
"QG-00680","R001902833","GPS","","1","GPS志免南里","XGM","87-074","","","GPS","BC02","1"
"QG-00681","R001902834","GPS","","1","GPS岡垣野間","XGM","87-086","","","GPS","BC01","1"
"QG-00684","R001902837","GPS","","1","GPS柳川三橋町下百町","XGM","87-129","","","GPS","BC02","1"
"QG-00685","R001902838","GPS","","1","GPS霧島国分中央","XGM","84-058","","","GPS","BC01","1"
"QG-00686","R001902839","GPS","","1","GPS鹿児島霧島市第１３","XGM","84-058","","","GPS","BC02","1"
"QG-00687","R001902860","GPS","","1","GPS長崎福田本町","XGM","86-006","","","GPS","BC01","1"
"QG-00688","R001902861","GPS","","1","GPS長崎長崎市第１５９","XGM","86-006","","","GPS","BC02","1"
"QG-00689","R001902862","GPS","","1","GPS長崎佐世保市第８６","XGM","86-015","","","GPS","BC01","1"
"QG-00690","R001902863","GPS","","1","GPS長崎佐世保市第３２","XGM","86-019","","","GPS","BC01","1"
"QG-00691","R001902864","GPS","","1","GPS長崎佐世保市第２５","XGM","86-019","","","GPS","BC02","1"
"QG-00692","R001902865","GPS","","1","GPS諫早永昌町","XGM","86-025","","","GPS","BC02","1"
"QG-00693","R001902866","GPS","","1","GPS大村池田","XGM","86-029","","","GPS","BC02","1"
"QG-00694","R001902867","GPS","","1","GPS大村玖島","XGM","86-029","","","GPS","BC01","1"
"QG-00695","R001902868","GPS","","1","GPS長崎大村市第６","XGM","86-030","","","GPS","BC02","1"
"QG-00696","R001902869","GPS","","1","GPS時津浜田郷","XGM","86-055","","","GPS","BC01","1"
"QG-00697","R001902870","GPS","","1","GPS長崎西彼杵郡時津町第１３","XGM","86-055","","","GPS","BC02","1"
"QG-00698","R001902871","GPS","","1","GPS八幡東西本町Ｂ","XGM","87-017","","","GPS","BC01","1"
"QG-00699","R001902872","GPS","","1","GPS八幡東枝光","XGM","87-017","","","GPS","BC02","1"
"QG-00700","R001902873","GPS","","1","GPS八幡西本城東","XGM","87-018","","","GPS","BC01","1"
"QG-00701","R001902874","GPS","","1","GPS八幡西大浦","XGM","87-018","","","GPS","BC02","1"
"QG-00702","R001902875","GPS","","1","GPS田川糒","XGM","87-052","","","GPS","BC01","1"
"QG-00703","R001902876","GPS","","1","GPS小郡三沢","XGM","87-063","","","GPS","BC01","1"
"QG-00704","R001902877","GPS","","1","GPS粕屋","XGM","87-079","","","GPS","BC01","1"
"QG-00705","R001905308","GPS","","1","GPS福岡原田","XGM","87-024","","","GPS","BC02","1"
"QG-00706","R001912587","GPS","","1","GPS福岡馬出Ｂ","XGM","87-022","","","GPS","BC02","1"
"QG-00707","R001916209","GPS","","1","GPS基山園部弥生が丘","XGM","83-009","","","GPS","BC01","1"
"QG-00708","R001916955","GPS","","1","GPS大分羽田","SGM","85-008","","","GPS","FC-02","1"
"QG-00709","R001929836","GPS","","1","GPS大分明野北","XGM","85-006","","","GPS","BC01","1"
"QG-00710","R001961306","GPS","","1","GPS高取","XGM","87-040","","","GPS","BC01","1"
"QG-00713","R001961309","GPS","","1","GPS鹿児島鹿児島市第２１５（仮）","SGM","84-017","","","GPS","FC-01","1"
"QG-00716","R001961326","GPS","","1","GPS早良室見","XGM","87-040","","","GPS","BC02","1"
"QG-00717","R001961327","GPS","","1","GPS長崎大黒","XGM","86-127","","","GPS","BC02","1"
"QG-00718","R001961328","GPS","","1","GPS西唐津","XGM","83-005","","","GPS","BC02","1"
"QG-00719","R001961329","GPS","","1","GPS鹿児島武岡","SGM","84-017","","","GPS","FC-02","1"
"QG-00720","R001961330","GPS","","1","GPS長崎佐世保市第１１９（仮）","XGM","86-021","","","GPS","BC01","1"
"QG-00722","R001967297","GPS","","1","GPS臼杵市浜（仮）","XGM","85-031","","","GPS","BC01","1"
"QG-00723","R001970320","GPS","","1","GPS久留米田主丸牧（仮）","SGM","87-110","","","GPS","FC-01","1"
"QG-00724","R001974189","GPS","","1","GPS長崎市曙町０１Ｗ","SGM","86-005","","","GPS","FC-02","1"
"QG-00725","R001974149","GPS","","1","GPS長崎入船","SGM","86-005","","","GPS","FC-01","1"
"QG-00726","R001974150","GPS","","1","GPSうるま与那城照間","XGM","91-041","","","GPS","BC01","1"
"QG-00727","R001974151","GPS","","1","GPS与那城屋慶名","XGM","91-041","","","GPS","BC02","1"
"QG-00728","R001978430","GPS","","1","GPS佐世保大和（仮）","XGM","86-014","","","GPS","BC01","1"
"QG-00729","R001978974","GPS","","1","GPS水巻二東","XGM","87-085","","","GPS","BC02","1"
"QG-00732","R001994381","GPS","","1","GPS佐世保松浦町","XGM","86-012","","","GPS","BC01","1"
"QG-00733","R001994359","GPS","","1","GPS熊本尾ノ上","SGM","82-013","","","GPS","FC-02","1"
"QG-00735","R001994401","GPS","","1","GPS長崎かき道Ｂ","XGM","86-008","","","GPS","BC01","1"
"QG-00736","R001994402","GPS","","1","GPS長崎興善町","XGM","86-127","","","GPS","BC01","1"
"QG-00737","R001994403","GPS","","1","GPS唐津西寺町","XGM","83-005","","","GPS","BC01","1"
"QG-00738","R001994404","GPS","","1","GPS佐世保ハウステンボス","XGM","86-021","","","GPS","BC02","1"
